fdc_id,food_name,food_group,calcium_mg,carbohydrate_g,cholesterol_mg,choline_mg,copper_mg,energy_kcal,saturated_fat_g,trans_fat_g,fiber_g,fluoride_mg,folate_mg,iron_mg,magnesium_mg,manganese_mg,vitamin_b3_niacin_mg,vitamin_b5_pantothenic_acid_mg,phosphorus_mg,potassium_mg,protein_g,vitamin_b2_riboflavin_mg,selenium_mg,sodium_mg,sugar_g,vitamin_b1_thiamin_mg,fat_g,vitamin_a_rae_mg,vitamin_b12_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,vitamin_k_mg,water_g,zinc_mg,consumption_label,cuisine_label,suitable_for_cvd_cholesterol,food_name_original,cuisine
168184,Canned Tangerines,Fruits and Fruit Juices,12.0,9.41,0.0,6.0,0.041,38.0,0.004,0.0,1.2,0.0,0.005,0.27,11.0,0.0,0.445,0.0,11.0,136.0,0.75,0.031,0.0004,5.0,8.25,0.088,0.04,0.066,0.0,0.043,33.9,0.0,0.15,0.0,89.51,0.53,Snack,Generic,True,"Tangerines, (mandarin oranges), canned, juice pack, drained",Generic
168185,Canned Peach Nectar,Fruits and Fruit Juices,6.0,11.93,0.0,0.0,0.018,50.0,0.224,0.0,0.1,0.0,0.001,0.07,5.0,0.014,0.2,0.05,5.0,50.0,0.21,0.02,0.0,8.0,11.16,0.06,0.51,0.028,0.0,0.037,30.2,0.0,0.61,0.0,87.28,0.02,Drink,Generic,True,"Peach nectar, canned, with added ascorbic acid",Generic
168186,Pear Nectar,Fruits and Fruit Juices,5.0,15.76,0.0,0.0,0.067,60.0,0.001,0.0,0.6,0.0119,0.001,0.26,3.0,0.03,0.128,0.022,3.0,13.0,0.11,0.013,0.0005,4.0,15.16,0.002,0.01,0.0,0.0,0.014,27.0,0.0,0.0,0.0,84.01,0.07,Drink,Generic,True,"Pear nectar, canned, with added ascorbic acid",Generic
168187,Unsweetened Pineapple Juice,Fruits and Fruit Juices,13.0,12.87,0.0,3.3,0.069,53.0,0.008,0.0,0.2,0.0055,0.018,0.31,12.0,0.504,0.199,0.056,8.0,130.0,0.36,0.021,0.0001,2.0,9.98,0.058,0.12,0.0,0.0,0.1,43.8,0.0,0.02,0.0003,86.37,0.11,Drink,Generic,True,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",Generic
168189,Unsweetened White Grapefruit Juice,Fruits and Fruit Juices,15.0,7.51,0.0,0.0,0.032,37.0,0.0,0.0,0.6,0.0,0.0,0.08,9.0,0.019,0.263,0.28,17.0,142.0,0.54,0.02,0.0,2.0,7.69,0.065,0.64,0.002,0.0,0.037,31.1,0.0,0.21,0.0,91.0,0.05,Drink,Generic,True,"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",Generic
168190,Canned Jackfruit in Syrup,Fruits and Fruit Juices,44.0,23.94,0.0,0.0,0.05,92.0,0.0,0.0,0.9,0.0,0.014,0.29,10.0,0.078,0.677,0.072,6.0,96.0,0.36,0.036,0.0,11.0,0.0,0.033,0.14,0.0,0.0,0.044,0.5,0.0,0.0,0.0,75.28,0.11,Snack,Generic,True,"Jackfruit, canned, syrup pack",Asian
168191,Medjool Dates,Fruits and Fruit Juices,64.0,74.97,0.0,9.9,0.362,277.0,0.0,0.0,6.7,0.0,0.015,0.9,54.0,0.296,1.61,0.805,62.0,696.0,1.81,0.06,0.0,1.0,66.47,0.05,0.15,0.007,0.0,0.249,0.0,0.0,0.0,0.0027,21.32,0.44,Snack,Generic,True,"Dates, medjool",Generic
168193,Raw Pineapple,Fruits and Fruit Juices,13.0,11.82,0.0,5.6,0.081,45.0,0.0,0.0,0.0,0.0,0.0,0.25,12.0,1.593,0.47,0.193,9.0,125.0,0.55,0.029,0.0,1.0,8.29,0.078,0.13,0.003,0.0,0.106,16.9,0.0,0.0,0.0007,87.24,0.08,Snack,Generic,True,"Pineapple, raw, traditional varieties",Generic
168194,Extra Sweet Pineapple,Fruits and Fruit Juices,13.0,13.5,0.0,5.4,0.113,51.0,0.0,0.0,1.4,0.0,0.019,0.28,12.0,0.818,0.507,0.217,8.0,108.0,0.53,0.033,0.0001,1.0,10.32,0.08,0.11,0.003,0.0,0.114,56.4,0.0,0.02,0.0007,85.66,0.12,Snack,Generic,True,"Pineapple, raw, extra sweet variety",Generic
168195,Clementines,Fruits and Fruit Juices,30.0,12.02,0.0,14.0,0.043,47.0,0.0,0.0,1.7,0.0,0.024,0.14,10.0,0.023,0.636,0.151,21.0,177.0,0.85,0.03,0.0001,1.0,9.18,0.086,0.15,0.0,0.0,0.075,48.8,0.0,0.2,0.0,86.58,0.06,Snack,Generic,True,"Clementines, raw",Generic
168196,Guanabana Nectar,Fruits and Fruit Juices,7.0,14.93,0.0,2.2,0.01,59.0,0.029,0.0,0.1,0.0,0.006,0.36,3.0,0.01,0.12,0.07,2.0,25.0,0.11,0.011,0.0004,8.0,13.07,0.003,0.17,0.0,0.0,0.007,11.1,0.0,0.01,0.0,84.72,0.02,Drink,Generic,True,"Guanabana nectar, canned",Generic
168197,Apple Grape Juice,Fruits and Fruit Juices,11.0,12.46,0.0,2.4,0.01,50.0,0.023,0.0,0.2,0.0721,0.0,0.11,7.0,0.041,0.087,0.035,9.0,96.0,0.16,0.015,0.0001,7.0,10.92,0.006,0.12,0.0,0.0,0.021,28.2,0.0,0.01,0.0002,87.05,0.05,Drink,Generic,True,"Juice, apple and grape blend, with added ascorbic acid",Generic
168198,Apple Grape Pear Juice,Fruits and Fruit Juices,72.0,12.96,0.0,1.8,0.013,52.0,0.021,0.0,0.2,0.0435,0.0,0.14,6.0,0.086,0.094,0.03,11.0,89.0,0.17,0.015,0.0001,5.0,9.95,0.005,0.12,0.0,0.0,0.018,50.7,0.0,0.01,0.0,86.44,0.06,Drink,Generic,True,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",Generic
168199,Fried Green Plantains,Fruits and Fruit Juices,4.0,49.17,0.0,0.0,0.183,309.0,3.69,0.159,3.5,0.0,0.0,0.67,58.0,0.188,0.818,0.388,44.0,482.0,1.5,0.102,0.0,2.0,3.63,0.047,11.81,0.06,0.0,0.264,3.4,0.0,0.0,0.0,36.08,0.23,Main Course,Generic,True,"Plantains, green, fried",Generic
168200,Fried Yellow Plantains,Fruits and Fruit Juices,6.0,40.77,0.0,0.0,0.116,236.0,1.816,0.111,3.2,0.0,0.0,0.62,45.0,0.28,0.837,0.6,43.0,507.0,1.42,0.02,0.0004,6.0,21.76,0.07,7.51,0.066,0.0,0.29,0.0,0.0,1.1,0.0318,49.04,0.24,Side Dish,Generic,True,"Plantains, yellow, fried, Latino restaurant",Generic
168201,Red Delicious Apples,Fruits and Fruit Juices,6.0,14.06,0.0,3.4,0.027,59.0,0.0,0.0,2.3,0.0,0.0,0.11,5.0,0.034,0.075,0.051,12.0,104.0,0.27,0.025,0.0,1.0,10.48,0.015,0.2,0.003,0.0,0.034,0.0,0.0,0.24,0.0026,85.33,0.04,Snack,Generic,True,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",Generic
168202,Golden Delicious Apples,Fruits and Fruit Juices,6.0,13.6,0.0,5.1,0.03,57.0,0.0,0.0,2.4,0.0,0.0,0.13,5.0,0.035,0.094,0.074,10.0,100.0,0.28,0.026,0.0,2.0,10.04,0.018,0.15,0.003,0.0,0.051,0.0,0.0,0.18,0.0018,85.81,0.04,Snack,Generic,True,"Apples, raw, golden delicious, with skin",Generic
168203,Granny Smith Apples,Fruits and Fruit Juices,5.0,13.61,0.0,3.4,0.031,58.0,0.0,0.0,2.8,0.0,0.0,0.15,5.0,0.044,0.126,0.056,12.0,120.0,0.44,0.025,0.0001,1.0,9.59,0.019,0.19,0.005,0.0,0.037,0.0,0.0,0.18,0.0032,85.46,0.04,Snack,Generic,True,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",Generic
168204,Gala Apples,Fruits and Fruit Juices,7.0,13.68,0.0,3.4,0.021,57.0,0.0,0.0,2.3,0.0,0.0,0.12,5.0,0.037,0.075,0.055,11.0,108.0,0.25,0.029,0.0,1.0,10.37,0.017,0.12,0.001,0.0,0.049,0.0,0.0,0.18,0.0013,85.76,0.05,Snack,Generic,True,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",Generic
168205,Unsweetened Canned Pineapple Juice,Fruits and Fruit Juices,14.0,12.18,0.0,0.0,0.028,50.0,0.0,0.0,0.2,0.0,0.012,0.26,11.0,0.504,0.141,0.056,9.0,132.0,0.36,0.016,0.0,3.0,9.98,0.058,0.14,0.0,0.0,0.1,31.3,0.0,0.63,0.0,87.06,0.11,Drink,Generic,True,"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",Generic
168207,Unsweetened Grape Juice,Fruits and Fruit Juices,42.0,14.77,0.0,3.2,0.018,62.0,0.025,0.0,0.2,0.138,0.0,0.25,10.0,0.239,0.133,0.048,14.0,104.0,0.37,0.015,0.0,5.0,14.2,0.017,0.13,0.0,0.0,0.032,25.0,0.0,0.0,0.0004,84.51,0.07,Drink,Generic,True,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",Generic
168209,Frozen Raspberries,Fruits and Fruit Juices,24.0,12.55,0.0,0.0,0.09,56.0,0.064,0.0,4.3,0.0,0.028,0.76,23.0,0.61,0.675,0.402,30.0,184.0,1.15,0.1,0.0,4.0,6.54,0.089,0.81,0.004,0.0,0.062,17.6,0.0,0.75,0.0,85.01,0.31,Snack,Generic,True,"Raspberries, frozen, red, unsweetened",Generic
168210,Guava Nectar,Fruits and Fruit Juices,8.0,13.3,0.0,1.1,0.025,48.0,0.023,0.0,1.2,0.0,0.004,0.54,2.0,0.058,0.17,0.0,3.0,33.0,0.3,0.005,0.0001,6.0,10.15,0.005,0.07,0.002,0.0,0.009,21.3,0.0,0.06,0.001,86.23,0.02,Drink,Generic,True,"Guava nectar, with sucralose, canned",Generic
168211,SunGold Kiwifruit,Fruits and Fruit Juices,17.0,15.79,0.0,1.9,0.151,63.0,0.065,0.0,1.4,0.0,0.031,0.21,12.0,0.048,0.231,0.12,25.0,315.0,1.02,0.074,0.0004,3.0,12.3,0.0,0.28,0.001,8e-05,0.079,161.3,0.0,1.4,0.0060999999999999,82.44,0.08,Snack,Generic,True,"Kiwifruit, ZESPRI SunGold, raw",Generic
168212,Cranberry Juice Blend,Fruits and Fruit Juices,19.0,10.91,0.0,1.8,0.016,45.0,0.002,0.0,0.1,0.0,0.018,0.08,5.0,0.067,0.094,0.0,8.0,76.0,0.27,0.015,0.0001,6.0,9.8,0.005,0.12,0.001,0.0,0.018,31.5,0.0,0.01,0.0,88.6,0.05,Drink,Generic,True,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",Generic
168213,Strawberry Banana Smoothie,Fruits and Fruit Juices,10.0,11.05,0.0,3.8,0.04,48.0,0.059,0.0,0.6,0.0,0.03,0.2,14.0,0.18,0.285,0.21,18.0,201.0,0.5,0.05,0.0002,2.0,9.9,0.05,0.32,0.011,0.0,0.065,38.4,0.0,8.93,0.0008,87.74,0.08,Drink,Generic,True,"Fruit juice smoothie, ODWALLA, strawberry banana",Generic
168214,Strawberry Banana Smoothie,Fruits and Fruit Juices,10.0,11.66,0.0,3.8,0.04,50.0,0.061,0.002,0.6,0.0,0.035,0.2,14.0,0.18,0.31,0.0,18.0,201.0,0.48,0.057,0.0004,2.0,10.05,0.04,0.27,0.002,0.0,0.115,8.4,0.0,0.13,0.0021,87.28,0.08,Drink,Generic,True,"Fruit juice smoothie, NAKED JUICE, strawberry banana",Generic
168216,Boiled Green Plantains,Fruits and Fruit Juices,3.0,29.15,0.0,0.0,0.08,121.0,0.072,0.001,2.6,0.0,0.0,0.3,28.0,0.109,0.39,0.38,24.0,289.0,1.09,0.065,0.0,2.0,2.25,0.05,0.08,0.0,0.0,0.22,9.1,0.0,0.0,0.0038,69.08,0.14,Side Dish,Generic,True,"Plantains, green, boiled",Generic
168217,Raspberry Juice,Fruits and Fruit Juices,97.0,53.19,0.0,0.0,0.138,221.0,0.056,0.0,1.1,0.0,0.0,1.16,112.0,4.67,3.89,2.7,100.0,1178.0,3.04,0.34,0.0,10.0,38.21,0.25,1.34,0.0,0.0,0.25,38.1,0.0,0.06,0.0,41.15,1.29,Drink,Generic,True,Raspberry juice concentrate,Generic
168384,Sprouted Alfalfa Greens,Vegetables and Vegetable Products,32.0,2.1,0.0,14.4,0.157,23.0,0.069,0.0,1.9,0.0,0.036,0.96,27.0,0.188,0.481,0.563,70.0,79.0,3.99,0.126,0.0006,6.0,0.2,0.076,0.69,0.008,0.0,0.034,8.2,0.0,0.02,0.0305,92.82,0.92,Snack,Generic,True,"Alfalfa seeds, sprouted, raw",Generic
168385,Raw Amaranth Leaves,Vegetables and Vegetable Products,215.0,4.02,0.0,0.0,0.162,23.0,0.091,0.0,0.0,0.0,0.085,2.32,55.0,0.885,0.658,0.064,50.0,611.0,2.46,0.158,0.0009,20.0,0.0,0.027,0.33,0.146,0.0,0.192,43.3,0.0,0.0,1.14,91.69,0.9,Side Dish,Generic,True,"Amaranth leaves, raw",Generic
168386,Cooked Artichokes,Vegetables and Vegetable Products,21.0,11.95,0.0,34.4,0.127,53.0,0.079,0.0,5.7,0.0,0.089,0.61,42.0,0.225,1.11,0.24,73.0,286.0,2.89,0.089,0.0002,60.0,0.99,0.05,0.34,0.001,0.0,0.081,7.4,0.0,0.19,0.0148,84.08,0.4,Side Dish,Generic,True,"Artichokes, (globe or french), cooked, boiled, drained, without salt",Mediterranean
168388,Cooked Artichokes,Vegetables and Vegetable Products,21.0,9.18,0.0,29.2,0.061,45.0,0.119,0.0,4.6,0.0,0.119,0.56,31.0,0.273,0.915,0.2,61.0,264.0,3.11,0.158,0.0002,53.0,0.84,0.062,0.5,0.001,0.0,0.087,5.0,0.0,0.16,0.0126,86.5,0.36,Side Dish,Generic,True,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",Mediterranean
168389,Raw Asparagus,Vegetables and Vegetable Products,24.0,3.88,0.0,16.0,0.189,20.0,0.04,0.0,2.1,0.0,0.052,2.14,14.0,0.158,0.978,0.274,52.0,202.0,2.2,0.141,0.0023,2.0,1.88,0.143,0.12,0.038,0.0,0.091,5.6,0.0,1.13,0.0416,93.22,0.54,Side Dish,Generic,True,"Asparagus, raw",Generic
168390,Boiled Asparagus,Vegetables and Vegetable Products,23.0,4.11,0.0,26.1,0.165,22.0,0.048,0.0,2.0,0.0219,0.149,0.91,14.0,0.154,1.084,0.225,54.0,224.0,2.4,0.139,0.0060999999999999,14.0,1.3,0.162,0.22,0.05,0.0,0.079,7.7,0.0,1.5,0.0506,92.63,0.6,Side Dish,Generic,True,"Asparagus, cooked, boiled, drained",Generic
168391,Raw Balsam-Pear Tips,Vegetables and Vegetable Products,84.0,3.29,0.0,0.0,0.201,30.0,0.0,0.0,0.0,0.0,0.128,2.04,85.0,0.536,1.11,0.063,99.0,608.0,5.3,0.362,0.0009,11.0,0.0,0.181,0.69,0.087,0.0,0.803,88.0,0.0,0.0,0.0,89.25,0.3,Side Dish,Generic,True,"Balsam-pear (bitter gourd), leafy tips, raw",Generic
168392,Cooked Bitter Gourd Tips,Vegetables and Vegetable Products,42.0,6.68,0.0,21.0,0.201,34.0,0.032,0.0,1.9,0.0,0.088,1.02,94.0,0.536,0.995,0.06,77.0,602.0,3.6,0.282,0.0009,13.0,1.04,0.147,0.2,0.121,0.0,0.76,55.6,0.0,1.45,0.1631,88.69,0.3,Side Dish,Generic,True,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",Asian
168393,Bitter Gourd,Vegetables and Vegetable Products,19.0,3.7,0.0,0.0,0.034,17.0,0.0,0.0,2.8,0.0,0.072,0.43,17.0,0.089,0.4,0.212,31.0,296.0,1.0,0.04,0.0002,5.0,0.0,0.04,0.17,0.024,0.0,0.043,84.0,0.0,0.0,0.0,94.03,0.8,Side Dish,Generic,True,"Balsam-pear (bitter gourd), pods, raw",Asian
168394,Cooked Bitter Gourd,Vegetables and Vegetable Products,9.0,4.32,0.0,10.8,0.033,19.0,0.014,0.0,2.0,0.0,0.051,0.38,16.0,0.086,0.28,0.193,36.0,319.0,0.84,0.053,0.0002,6.0,1.95,0.051,0.18,0.006,0.0,0.041,33.0,0.0,0.14,0.0048,93.95,0.77,Side Dish,Generic,True,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",Asian
168395,Cooked Kidney Beans,Vegetables and Vegetable Products,19.0,4.72,0.0,0.0,0.174,33.0,0.083,0.0,0.0,0.0,0.047,0.89,23.0,0.199,3.024,0.381,38.0,194.0,4.83,0.273,0.0006,7.0,0.0,0.362,0.58,0.0,0.0,0.093,35.6,0.0,0.0,0.0,89.3,0.44,Main Course,Generic,True,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",Generic
168397,Sweet Yellow Corn,Vegetables and Vegetable Products,2.0,13.02,0.0,0.0,0.031,64.0,0.219,0.0,1.7,0.0,0.029,0.22,11.0,0.056,0.78,0.0,41.0,116.0,2.18,0.015,0.0,163.0,4.11,0.015,1.43,0.0,0.0,0.0,1.7,0.0,0.0,0.0,82.8,0.28,Side Dish,Generic,True,"Corn, sweet, yellow, canned, drained solids, rinsed with tap water",Generic
168399,Sweet Corn Kernels,Vegetables and Vegetable Products,3.0,19.3,0.0,22.0,0.048,81.0,0.103,0.0,2.4,0.0,0.035,0.47,28.0,0.155,1.311,0.151,79.0,233.0,2.55,0.062,0.0007,1.0,3.07,0.03,0.67,0.01,0.0,0.099,3.5,0.0,0.07,0.0003,77.03,0.63,Side Dish,Generic,True,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",Generic
168401,Boiled Sweet Corn on the Cob,Vegetables and Vegetable Products,3.0,22.33,0.0,0.0,0.046,94.0,0.114,0.0,2.8,0.0,0.031,0.61,29.0,0.142,1.517,0.25,75.0,251.0,3.11,0.069,0.0007,4.0,3.59,0.174,0.74,0.012,0.0,0.224,4.8,0.0,0.08,0.0004,73.2,0.63,Side Dish,Generic,True,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",Generic
168402,Cowpeas,Vegetables and Vegetable Products,128.0,20.32,0.0,32.9,0.133,97.0,0.096,0.0,5.0,0.0,0.127,1.12,52.0,0.572,1.403,0.154,51.0,418.0,3.17,0.148,0.0025,4.0,3.23,0.101,0.38,0.04,0.0,0.065,2.2,0.0,0.22,0.0266,75.48,1.03,Side Dish,Generic,True,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",Generic
168404,Cooked Cowpeas,Vegetables and Vegetable Products,23.0,23.76,0.0,45.6,0.184,132.0,0.175,0.0,6.4,0.0,0.141,2.12,50.0,0.791,0.728,0.213,122.0,375.0,8.49,0.064,0.0034,5.0,4.46,0.26,0.66,0.004,0.0,0.095,2.6,0.0,0.3,0.0368,66.1,1.42,Main Course,Generic,True,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",Generic
168406,Cooked Cowpeas,Vegetables and Vegetable Products,69.0,2.8,0.0,0.0,0.154,22.0,0.026,0.0,0.0,0.0,0.06,1.09,62.0,0.412,1.008,0.046,42.0,351.0,4.67,0.142,0.0009,6.0,0.0,0.256,0.1,0.029,0.0,0.135,18.4,0.0,0.0,0.0,91.3,0.24,Main Course,Generic,True,"Cowpeas, leafy tips, cooked, boiled, drained, without salt",Generic
168407,Raw Garden Cress,Vegetables and Vegetable Products,81.0,5.5,0.0,19.5,0.17,32.0,0.023,0.0,1.1,0.0,0.08,1.3,38.0,0.553,1.0,0.242,76.0,606.0,2.6,0.26,0.0009,14.0,4.4,0.08,0.7,0.346,0.0,0.247,69.0,0.0,0.7,0.5418999999999999,89.4,0.23,Side Dish,Generic,True,"Cress, garden, raw",Generic
168408,Boiled Garden Cress,Vegetables and Vegetable Products,61.0,3.8,0.0,13.8,0.114,23.0,0.02,0.0,0.7,0.0,0.037,0.8,26.0,0.372,0.8,0.163,48.0,353.0,1.9,0.16,0.0009,8.0,3.11,0.06,0.6,0.232,0.0,0.157,23.0,0.0,0.5,0.3833999999999999,92.5,0.15,Side Dish,Generic,True,"Cress, garden, cooked, boiled, drained, without salt",Generic
168409,Raw Cucumber,Vegetables and Vegetable Products,16.0,3.63,0.0,6.0,0.041,15.0,0.037,0.0,0.5,0.0013,0.007,0.28,13.0,0.079,0.098,0.259,24.0,147.0,0.65,0.033,0.0003,2.0,1.67,0.027,0.11,0.005,0.0,0.04,2.8,0.0,0.03,0.0163999999999999,95.23,0.2,Side Dish,Generic,True,"Cucumber, with peel, raw",Generic
168411,Prepared Edamame,Vegetables and Vegetable Products,63.0,8.91,0.0,56.3,0.345,121.0,0.62,0.009,5.2,0.0,0.311,2.27,64.0,1.024,0.915,0.395,169.0,436.0,11.91,0.155,0.0008,6.0,2.18,0.2,5.2,0.015,0.0,0.1,6.1,0.0,0.68,0.0267,72.77,1.37,Side Dish,Generic,True,"Edamame, frozen, prepared",Asian
168412,Raw Endive,Vegetables and Vegetable Products,52.0,3.35,0.0,16.8,0.099,17.0,0.048,0.0,3.1,0.0,0.142,0.83,15.0,0.42,0.4,0.9,28.0,314.0,1.25,0.075,0.0002,22.0,0.25,0.08,0.2,0.108,0.0,0.02,6.5,0.0,0.44,0.231,93.79,0.79,Side Dish,Generic,True,"Endive, raw",Generic
168413,Boiled Escarole,Vegetables and Vegetable Products,46.0,3.07,0.0,15.4,0.087,15.0,0.042,0.0,2.8,0.0067,0.078,0.72,13.0,0.385,0.312,0.826,22.0,245.0,1.15,0.062,0.0002,19.0,0.23,0.059,0.18,0.094,0.0,0.016,3.3,0.0,0.4,0.2119,94.29,0.69,Side Dish,Generic,True,"Escarole, cooked, boiled, drained, no salt added",Generic
168415,Cooked Dishcloth Gourd,Vegetables and Vegetable Products,9.0,14.34,0.0,0.0,0.085,56.0,0.027,0.0,2.9,0.0,0.012,0.36,20.0,0.223,0.26,0.501,31.0,453.0,0.66,0.042,0.0002,21.0,5.17,0.046,0.34,0.0,0.0,0.099,5.7,0.0,0.24,0.0017,84.29,0.17,Side Dish,Generic,True,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, without salt",Generic
168420,Cooked Jute,Vegetables and Vegetable Products,211.0,7.29,0.0,12.8,0.255,37.0,0.03,0.0,2.0,0.0,0.104,3.14,62.0,0.123,0.89,0.072,72.0,550.0,3.68,0.192,0.0009,11.0,1.0,0.091,0.2,0.259,0.0,0.57,33.0,0.0,0.7,0.108,87.15,0.79,Side Dish,Generic,True,"Jute, potherb, cooked, boiled, drained, without salt",Generic
168423,Raw Morel Mushrooms,Vegetables and Vegetable Products,43.0,5.1,0.0,0.0,0.625,31.0,0.065,0.0,2.8,0.0,0.009,12.18,19.0,0.587,2.252,0.44,194.0,411.0,3.12,0.205,0.0022,21.0,0.6,0.069,0.57,0.0,0.0,0.136,0.0,0.0050999999999999,0.0,0.0,89.61,2.03,Side Dish,Generic,True,"Mushrooms, morel, raw",Generic
168424,Raw Kohlrabi,Vegetables and Vegetable Products,24.0,6.2,0.0,12.3,0.129,27.0,0.013,0.0,3.6,0.0,0.016,0.4,19.0,0.139,0.4,0.165,46.0,350.0,1.7,0.02,0.0007,20.0,2.6,0.05,0.1,0.002,0.0,0.15,62.0,0.0,0.48,0.0001,91.0,0.03,Side Dish,Generic,True,"Kohlrabi, raw",Generic
168425,Cooked Kohlrabi,Vegetables and Vegetable Products,25.0,6.69,0.0,13.2,0.132,29.0,0.014,0.0,1.1,0.0,0.012,0.4,19.0,0.142,0.39,0.16,45.0,340.0,1.8,0.02,0.0008,21.0,2.8,0.04,0.11,0.002,0.0,0.154,54.0,0.0,0.52,0.0001,90.3,0.31,Side Dish,Generic,True,"Kohlrabi, cooked, boiled, drained, without salt",Generic
168426,Cooked Leeks,Vegetables and Vegetable Products,30.0,7.62,0.0,0.0,0.062,31.0,0.027,0.0,1.0,0.0,0.024,1.1,14.0,0.247,0.2,0.072,17.0,87.0,0.81,0.02,0.0005,10.0,2.11,0.026,0.2,0.041,0.0,0.113,4.2,0.0,0.5,0.0254,90.8,0.06,Side Dish,Generic,True,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",Generic
168428,Sprouted Lentils,Vegetables and Vegetable Products,14.0,21.25,0.0,0.0,0.337,101.0,0.053,0.0,0.0,0.0,0.067,3.1,35.0,0.502,1.2,0.571,153.0,284.0,8.8,0.09,0.0006,10.0,0.0,0.22,0.45,0.002,0.0,0.164,12.6,0.0,0.0,0.0,68.7,1.6,Main Course,Generic,True,"Lentils, sprouted, cooked, stir-fried, without salt",Generic
168429,Butterhead Lettuce,Vegetables and Vegetable Products,35.0,2.23,0.0,8.4,0.016,13.0,0.029,0.0,1.1,0.0,0.073,1.24,13.0,0.179,0.357,0.15,33.0,238.0,1.35,0.062,0.0006,5.0,0.94,0.057,0.22,0.166,0.0,0.082,3.7,0.0,0.18,0.1023,95.63,0.2,Side Dish,Generic,True,"Lettuce, butterhead (includes boston and bibb types), raw",Generic
168430,Boiled Lotus Root,Vegetables and Vegetable Products,26.0,16.02,0.0,25.4,0.217,66.0,0.021,0.0,3.1,0.0,0.008,0.9,22.0,0.22,0.3,0.302,78.0,363.0,1.58,0.01,0.0006,45.0,0.5,0.127,0.07,0.0,0.0,0.218,27.4,0.0,0.01,0.0001,81.42,0.33,Side Dish,Generic,True,"Lotus root, cooked, boiled, drained, without salt",Asian
168431,Raw Red Leaf Lettuce,Vegetables and Vegetable Products,33.0,2.26,0.0,11.8,0.028,13.0,0.028,0.0,0.9,0.0,0.036,1.2,12.0,0.203,0.321,0.144,28.0,187.0,1.33,0.077,0.0015,25.0,0.48,0.064,0.22,0.375,0.0,0.1,3.7,0.0,0.15,0.1403,95.64,0.2,Side Dish,Generic,True,"Lettuce, red leaf, raw",Generic
168433,Steamed Mountain Yam,Vegetables and Vegetable Products,8.0,20.0,0.0,0.0,0.129,82.0,0.018,0.0,0.0,0.0,0.012,0.43,10.0,0.283,0.13,0.48,40.0,495.0,1.73,0.014,0.0009,12.0,0.0,0.086,0.08,0.0,0.0,0.209,0.0,0.0,0.0,0.0,77.14,0.32,Side Dish,Generic,True,"Mountain yam, hawaii, cooked, steamed, without salt",Asian
168434,Raw Brown Mushrooms,Vegetables and Vegetable Products,18.0,4.3,0.0,22.1,0.5,22.0,0.014,0.0,0.6,0.0,0.025,0.4,9.0,0.142,3.8,1.5,120.0,448.0,2.5,0.49,0.026,6.0,1.72,0.095,0.1,0.0,0.0001,0.11,0.0,0.0001,0.01,0.0,92.12,1.1,Side Dish,Generic,True,"Mushrooms, brown, italian, or crimini, raw",Generic
168435,Stir-Fried Shiitake Mushrooms,Vegetables and Vegetable Products,2.0,7.68,0.0,59.4,0.163,39.0,0.032,0.0,3.6,0.0,0.014,0.53,19.0,0.223,3.87,1.36,111.0,326.0,3.45,0.274,0.0063,5.0,0.3,0.099,0.35,0.0,0.0,0.174,0.0,0.0005,0.0,0.0,87.74,0.96,Main Course,Generic,True,"Mushrooms, shiitake, stir-fried",Asian
168437,Cooked Shiitake Mushrooms,Vegetables and Vegetable Products,3.0,14.39,0.0,36.8,0.896,56.0,0.05,0.0,2.1,0.0,0.021,0.44,14.0,0.204,1.5,3.594,29.0,117.0,1.56,0.17,0.0248,4.0,3.84,0.037,0.22,0.0,0.0,0.159,0.3,0.0007,0.0,0.0,83.48,1.33,Side Dish,Generic,True,"Mushrooms, shiitake, cooked, without salt",Asian
